,_id,MC_Entity,MC_EntityBB,MC_EntityShort,MC_EntityLong,MC_Address,MC_Telephone,MC_Telefax,MC_MembershipDate,MC_Holiday,MC_Category,MC_Category_Type,MC_WebSite,MC_SocialMedia,MC_eMail,MC_UNCorrespondenceLanguage
189,5ed5136868235a1f35484c92,SUDAN,Sudan,Sudan,Republic of the Sudan,"Permanent Mission of the Republic
of the Sudan to the United Nations
305 East 47th Street
3 Dag Hammarskjöld Plaza, 4th Floor
New York, NY 10017",212-573-6033,212-573-6160,11/12/1956,"Independence Day, 1 January",1,,,,sudan@sudanmission.org,English
159,5ed5136868235a1f35484c93,SURINAME,Suriname,Suriname,Republic of Suriname,"Permanent Mission of the Republic
of Suriname to the United Nations
633 Third Avenue, 17th Floor
New York, NY 10017","212-826-0660
212-826-0661
212-826-0662
212-826-0663",,12/4/1975,"Independence Day, 25 November",1,,,,suriname@un.int,English
176,5ed5136868235a1f35484c94,SWEDEN,Sweden,Sweden,Kingdom of Sweden,"Permanent Mission of Sweden
to the United Nations
One Dag Hammarskjöld Plaza
885 Second Avenue, 46th Floor
New York, NY 10017-2201",212-583-2500,,11/19/1946,6 June,1,,www.swedenabroad.com/un,Twitter: @SwedenUN,representationen.new-york@gov.se,English
177,5ed5136868235a1f35484c95,SWITZERLAND,Switzerland,Switzerland,Swiss Confederation,"Permanent Mission of Switzerland
to the United Nations
633 Third Avenue, 29th Floor
New York, NY 10017
",212-286-1540,212-286-1555,9/10/2002,1 August,1,,www.eda.admin.ch/missny ,,newyork.un@eda.admin.ch,French
200,5ed5136868235a1f35484c96,SYRIAN ARAB REPUBLIC,Syrian Arab Republic,Syrian Arab Republic,Syrian Arab Republic,"Permanent Mission of the Syrian Arab Republic
to the United Nations
820 Second Avenue, 15th Floor
New York, NY 10017",212-661-1313,212-983-4439,10/24/1945,"Independence Day, 17 April",1,,,,syria@un.int,English
183,5ed5136868235a1f35484c97,TAJIKISTAN,Tajikistan,Tajikistan,Republic of Tajikistan,"Permanent Mission of the Republic
of Tajikistan to the United Nations
228 East, 45th Street, 17th Floor
New York, NY 10017",212-207-3315,212-207-3855,3/2/1992,"Independence Day, 9 September",1,,,,"tajikistanunmission@gmail.com
 ",English
160,5ed5136868235a1f35484c98,THAILAND,Thailand,Thailand,Kingdom of Thailand,"Permanent Mission of Thailand
to the United Nations
136 East 39th Street
New York, NY 10016",212-754-2230,212-644-8110; 917-261-4468,12/16/1946,"National Day, 5 December",1,,,,thailand@un.int,English
165,5ed5136868235a1f35484c99,TIMOR-LESTE,Timor-Leste,Timor-Leste,Democratic Republic of Timor-Leste,"Permanent Mission of the Democratic Republic
of Timor-Leste to the United Nations
370 Lexington Avenue, Suite 1704
New York, NY 10017",212-759-3675,212-759-4196,9/27/2002,20 May,1,,,,timor-leste@un.int,English
190,5ed5136868235a1f35484c9a,TOGO,Togo,Togo,Republic of Togo,"Permanent Mission of Togo
to the United Nations
600 Third Avenue, 2nd Floor
New York, NY 10016","212-490-3455
212-490-3456",212-983-6684,9/20/1960,"National Day, 27 April",1,,www.missiontogo-onu-newyork.com,,togo.mission@togounmission.org,French
161,5ed5136868235a1f35484c9b,TONGA,Tonga,Tonga,Kingdom of Tonga,"Permanent Mission of the Kingdom
of Tonga to the United Nations
250 East 51st Street
New York, NY 10022",646-692-3552,646-692-6070,9/14/1999,4 November,1,,,,tongaunmission@gmail.com,English
201,5ed5136868235a1f35484c9c,TRINIDAD AND TOBAGO,Trinidad and Tobago,Trinidad and Tobago,Republic of Trinidad and Tobago,"Permanent Mission of the Republic
of Trinidad and Tobago to the United Nations
633 Third Avenue, 12th Floor
New York, NY 10017",212-697-7620,212-682-3580,9/18/1962,31 August,1,,,,tto@un.int,English
207,5ed5136868235a1f35484c9d,TUNISIA,Tunisia,Tunisia,Republic of Tunisia,"Permanent Mission of Tunisia
to the United Nations
31 Beekman Place
New York, NY 10022","212-751-7503
212-751-7534
212-751-5069","212-986-1620
212-986-1650 (Ambassador's Office)",11/12/1956,"Independence Day, 20 March",1,,,,tunisiamission@usa.com,French
162,5ed5136868235a1f35484c9f,TURKMENISTAN,Turkmenistan,Turkmenistan,Turkmenistan,"Permanent Mission of Turkmenistan
to the United Nations
866 United Nations Plaza, Suite 540
New York, NY 10017",212-486-8908,212-486-2521,3/2/1992,"Independence Day, 27 September",1,,www.turkmenistanun.org,,turkmenistan@un.int,English
191,5ed5136868235a1f35484ca0,TUVALU,Tuvalu,Tuvalu,Tuvalu,"Permanent Mission of Tuvalu
to the United Nations
685 Third Avenue, Suite 1104
New York, NY 10017",212-490-0534,212-808-4975,9/5/2000,"Independence Day, 1 October",1,,www.un.int/wcm/content/site/tuvalu,,tuvalumission.un@gmail.com,English
197,5ed5136868235a1f35484c9e,TÜRKIYE,Türkiye,Türkiye,Republic of Türkiye,"Permanent Mission of Türkiye
to the United Nations
821 United Nations Plaza, 10th Floor
New York, NY 10017",212-949-0150,212-949-0086,10/24/1945,"Republic Day, 29 October",1,,www.turkuno.dt.mfa.gov.tr ,,tr-delegation.newyork@mfa.gov.tr ,English
192,5ed5136868235a1f35484ca1,UGANDA,Uganda,Uganda,Republic of Uganda,"Permanent Mission of the Republic
of Uganda to the United Nations
336 East 45th Street
New York, NY 10017","212-949-0110
212-949-0111
212-949-0112
212-949-0113",212-687-4517,10/25/1962,"Independence Day, 9 October",1,,ugandamissionunny.net,,admin@ugandaunny.com,English
193,5ed5136868235a1f35484ca2,UKRAINE,Ukraine,Ukraine,Ukraine,"Permanent Mission of Ukraine
to the United Nations
220 East 51st Street
New York, NY 10022",212-759-7003,212-355-9455,10/24/1945,"Independence Day, 24 August",1,,"http
//ukraineun.org",,"uno_us@mfa.gov.ua
",English
168,5ed5136868235a1f35484ca3,UNITED ARAB EMIRATES,United Arab Emirates,United Arab Emirates,United Arab Emirates,"Permanent Mission of the United Arab Emirates
to the United Nations
315 East 46th Street
New York, NY 10017
",212-371-0480,212-371-4923,12/9/1971,2 December,1,,,,"nyunprm@mofaic.gov.ae;
NYUNPRM@UAEUN.ORG",English
184,5ed5136868235a1f35484ca4,UNITED KINGDOM,United Kingdom,United Kingdom,United Kingdom of Great Britain and Northern Ireland,"Permanent Mission of the United Kingdom
to the United Nations
One Dag Hammarskjöld Plaza
885 Second Avenue
New York, NY 10017",212-745-9200,,10/24/1945,"Celebration of the Birthday of Her Majesty the Queen, 2 June (2022)",1,,www.gov.uk/world/uk-mission-to-the-united-nations-new-york,,ukmissionny@gmail.com,English
169,5ed5136868235a1f35484ca5,UNITED REPUBLIC OF TANZANIA,United Republic of Tanzania,United Republic of Tanzania,United Republic of Tanzania,"Permanent Mission of the United Republic
of Tanzania to the United Nations
307 East 53rd Street, 5th Floor 
New York, NY 10022",212-697-3612,212-697-3618,12/14/1961,"Union Day, 26 April",1,,www.un.int/tanzania,,"newyork@nje.go.tz
tanzania@un.int",English
202,5ed5136868235a1f35484ca6,UNITED STATES OF AMERICA,United States of America,United States of America,United States of America,"United States Mission to the United Nations
799 United Nations Plaza
New York, NY 10017",212-415-4000,,10/24/1945,"Independence Day, 4 July",1,,usun.state.gov,,usun.newyork@state.gov,English
170,5ed5136868235a1f35484ca7,URUGUAY,Uruguay,Uruguay,Oriental Republic of Uruguay,"Permanent Mission of Uruguay
to the United Nations
633 Third Avenue, Suite 13H
New York, NY 10017",212-752-8240,212-593-0935,12/18/1945,"Independence Day, 25 August",1,,www.urudeleg.org,,urudeleg@mrree.gub.uy ,Spanish
203,5ed5136868235a1f35484ca8,UZBEKISTAN,Uzbekistan,Uzbekistan,Republic of Uzbekistan,"Permanent Mission of the Republic
of Uzbekistan to the United Nations
630 Third Avenue, 5th Floor
New York, NY 10017",212-486-4242,212-486-7998,3/2/1992,"Independence Day, 1 September",1,,,,uzbekistan.un@gmail.com ,English
194,5ed5136868235a1f35484ca9,VANUATU,Vanuatu,Vanuatu,Republic of Vanuatu,"Permanent Mission of the Republic
of Vanuatu to the United Nations
685 Third Avenue, Suite 1103
New York, NY 10017",212-661-4303,212-661-5544,9/15/1981,"Independence Day, 30 July",1,,,,vanunmis@aol.com,English
204,5ed5136868235a1f35484caa,VENEZUELA (BOLIVARIAN REPUBLIC OF),Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),Bolivarian Republic of Venezuela,"Permanent Mission of the Bolivarian Republic
of Venezuela to the United Nations
335 East 46th Street
New York, NY 10017",646-559-4952,,11/15/1945,"Independence Day, 5 July",1,,www.misionvenezuela.org,,misionvenezuelaonu@gmail.com,Spanish
205,5ed5136868235a1f35484cab,VIET NAM,Viet Nam,Viet Nam,Socialist Republic of Viet Nam,"Permanent Mission of the Socialist Republic
of Viet Nam to the United Nations
866 United Nations Plaza, 4th Floor, Suite 428
New York, NY 10017","212-644-0594
212-644-0831
212-644-1564",212-644-5732,9/20/1977,"Independence Day, 2 September",1,,www.vietnam-un.org,,info@vietnam-un.org,English
171,5ed5136868235a1f35484cac,YEMEN,Yemen,Yemen,Republic of Yemen,"Permanent Mission of the Republic
of Yemen to the United Nations
413 East 51st Street
New York, NY 10022","212-355-1730
212-355-1731",,9/30/1947,22 May,1,,,,yemenmissionny@gmail.com,English
196,5ed5136868235a1f35484cad,ZAMBIA,Zambia,Zambia,Republic of Zambia,"Permanent Mission of the Republic
of Zambia to the United Nations
237 East 52nd Street
New York, NY 10022",212-888-5770,212-888-5213,12/1/1964,24 October,1,,,,zambia@un.int,English
166,5ed5136868235a1f35484cae,ZIMBABWE,Zimbabwe,Zimbabwe,Republic of Zimbabwe,"Permanent Mission of the Republic
of Zimbabwe to the United Nations
228 East 45th Street, Third Floor
New York, NY 10017","212-980-9511
",212-308-6705,8/25/1980,18 April,1,,,,zimnewyork@gmail.com,English
